module manual,
manual course,
course study,
study apply,
apply computer,
science version,
version module,
description apply,
content page,
page content,
content obligatory,
obligatory agile,
application optional,
optional section,
section itsecurity,
chapter distribute,
advance chapter,
chapter semantic,
mine search,
search optional,
section ebusiness,
interaction image,
processing medium,
medium production,
production module,
page obligatory,
obligatory module,
page module,
name agile,
development module,
responsibility prof,
prof englmeier,
englmeier qualification,
target knowingperceiving,
knowingperceiving student,
student learn,
learn basic,
development base,
base knowledge,
knowledge acquire,
acquire bachelor,
course project,
management better,
understand adopt,
adopt concept,
concept agility,
agility project,
course address,
address particular,
particular scrum,
methodology apply,
apply student,
student also,
also learn,
learn tool,
tool support,
support agile,
management analyzingevaluating,
analyzingevaluating course,
course apply,
apply reflect,
reflect traditional,
traditional project,
tool light,
light agility,
agility contrast,
contrast approach,
approach highlight,
difference applicability,
applicability agility,
agility different,
different project,
settings synthesize,
synthesize course,
course train,
train also,
also agile,
tool student,
manage fictive,
fictive work,
work encourage,
encourage link,
complete different,
course during,
during same,
same semester,
content know,
know understand,
understand apply,
apply analyze,
analyze assess,
assess synthesize,
synthesize basic,
basic project,
management agile,
principle scrum,
lifecycle measure,
performance module,
content understand,
understand agile,
agile value,
value principle,
principle agile,
methodology framework,
management model,
model adopt,
adopt agile,
approach initiating,
initiating agile,
project create,
vision chart,
chart project,
project agile,
agile contract,
contract agile,
agile documentation,
documentation scrum,
scrum fundamental,
fundamental concept,
concept user,
user story,
story iteration,
iteration sprint,
sprint backlog,
backlog role,
role team,
development communication,
lifecycle phase,
phase model,
model release,
release plan,
plan performance,
performance measurement,
measurement teach,
teach method,
method lecture,
exercise hoursweek,
hoursweek requirement,
participation programming,
skill literature,
literature multimedia,
multimedia base,
base teach,
teach material,
material highsmith,
highsmith agile,
management create,
create innovative,
innovative product,
edition pearson,
pearson educationaddison,
educationaddison wesley,
wesley professional,
professional stenbeck,
stenbeck pmiacp,
pmiacp certify,
certify scrum,
desk reference,
reference cohn,
cohn user,
story apply,
apply addisonwesley,
addisonwesley online,
address user,
story usercentred,
usercentred design,
design applicability,
applicability master,
master apply,
science effort,
effort total,
workload total,
total hour,
hour attendance,
attendance hour,
hour selfstudy,
selfstudy hour,
hour practical,
work hour,
hour ects,
ects emphasis,
emphasis grade,
grade final,
grade emphasis,
grade performance,
record project,
work semester,
semester semester,
semester frequency,
frequency course,
course once,
once during,
during academic,
academic year,
year summer,
summer semester,
semester duration,
duration semester,
semester type,
type course,
course obligatory,
obligatory course,
course from,
from area,
area software,
engineering module,
name computer,
graphic computergraphik,
computergraphik module,
prof hartmut,
hartmut seichter,
seichter qualification,
target student,
student able,
able understand,
understand connection,
connection between,
between visual,
visual computing, 
computing technique,
technique underlie,
underlie mathematical,
mathematical concept,
concept physiognomy,
physiognomy human,
human being,
being especially,
especially visual,
system student,
student further,
further distinguish,
distinguish difference,
difference between,
between image,
method relate,
relate technique,
technique student,
basic technique,
technique realtime,
visualization apply,
apply they,
they exercise,
exercise topic,
topic know,
synthesize digital,
image display,
system model,
representation image,
texturing lighting,
lighting model,
model shade,
shade model,
model application,
content computer,
graphic melt,
melt computer,
science technology,
technology present,
present digital,
content efficiently,
efficiently user,
user topic,
topic course,
course basic,
basic knowledge,
knowledge human,
human visual,
system perceptual,
perceptual psychological,
psychological concept,
concept image,
generation storage,
storage professional,
professional application,
application entertainment,
entertainment display,
technology model,
representation transformationpipeline,
transformationpipeline homogenous,
homogenous coordinate,
transformation scenegraphs,
scenegraphs realtime,
render apis,
apis image,
method rasterization,
rasterization raytracing,
raytracing beyond,
beyond geometry,
geometry image,
image samplingmethods,
samplingmethods antialiasing,
antialiasing strategy,
strategy texture,
texture surface,
material renderingequation,
renderingequation shadingmodels,
shadingmodels light,
light model,
model introduction,
introduction scientific,
visualization graphical,
graphical user,
interface teach,
lecture exercise,
exercise requirement,
programming basic,
knowledge linear,
algebra literature,
material foley,
foley james,
james andries,
andries steven,
steven feiner,
feiner john,
john hughes,
hughes richard,
richard phillips,
phillips introduction,
introduction computer,
graphic addisonwesley,
addisonwesley reading,
reading folien,
folien applicability,
science master,
master angewandte,
angewandte medieninformatik,
medieninformatik effort,
hour exam,
preparation hour,
record oral,
page semester,
frequency occurrence,
occurrence once,
year winter,
winter semester,
name computational,
intelligence module,
prof martin,
martin golz,
golz qualification,
student opportunity,
opportunity analyse,
analyse typical,
problem subsymbolic,
subsymbolic datum,
datum knowledge,
processing conceive,
conceive process,
process chain,
chain adaptive,
adaptive datum,
datum analytic,
analytic comprehend,
comprehend apply,
chain comprehend,
validation know,
know basic,
basic assumption,
model empirical,
empirical inference,
inference know,
know some,
some mathematical,
mathematical background,
background issue,
issue content,
know comprehend,
apply analyse,
analyse evaluate,
evaluate synthesise,
basic statistical,
statistical inference,
inference process,
analytic statistical,
statistical learn,
learn theory,
theory multivariate,
multivariate regression,
regression analysis,
analysis linear,
analysis kernel,
function discriminant,
linear nonlinear,
nonlinear adaptive,
filter deep,
learning module,
content introduction,
introduction five,
five type,
type statistical,
inference typical,
chain statistical,
theory empirical,,
minimisation learn,
learn general,
learning model,
model learn,
learn uniform,
complexity tradeoff,
tradeoff vapnik,
vapnik chervonenkis,
chervonenkis dimension,
dimension multivariate,
multivariate linear,
analysis introduction,
introduction model,
model principle,
principle maximal,
maximal aposteriori,
aposteriori probability,
introduction multiclass,
multiclass little,
little square,
square fisher,
fisher kernel,
theorem cover,
cover dual,
representation generation,
generation kernel,
function radial,
radial basis,
network recursive,
recursive little,
square minimisation,
minimisation gaussian,
gaussian process,
page application,
application adaptive,
filter linear,
filter little,
algorithm extend,
extend algorithm,
algorithm exrls,
exrls nonlinear,
filter reproduce,
reproduce kernel,
kernel hilbert,
hilbert space,
space rkhs,
rkhs kernel,
function filter,
application deep,
deep learn,
learn characterisation,
characterisation representation,
representation learn,
learn deep,
deep autoencoder,
autoencoder restrict,
restrict boltzmann,
boltzmann machine,
application teaching,
method frontal,
frontal lecture,
lecture digital,
slide demonstration,
demonstration program,
program exercise,
exercise hold,
hold computer,
computer pool,
pool programming,
matlab clarification,
clarification open,
open issue,
issue requirement,
participation formal,
formal supposition,
supposition basic,
analysis statistic,
statistic literature,
literature follow,
follow book,
book recommend,
recommend nielsen,
nielsen neural,
network deep,
learn determination,
determination press,
press mohri,
mohri rostamizadeh,
rostamizadeh foundation,
foundation machine,
machine learn,
learn press,
press bishop,
bishop pattern,
learn springer,
springer duda,
duda hart,
hart stork,
stork pattern,
pattern classification,
classification wiley,
wiley applicability,
applicability module,
module obligatory,
obligatory subject,
subject appropriation,
appropriation similar,
similar major,
major possible,
possible under,
under stipulation,
stipulation examination,
regulation effort,
workload hour,
hour include,
include hour,
hour presence,
presence hour,
hour selfinstruction,
selfinstruction ects,
examination minute,
minute semester,
once year,
year duration,
subject module,
name distribute,
system verteilte,
verteilte systeme,
systeme module,
prof erwin,
erwin neuhardt,
neuhardt qualification,
learn about,
about important,
important architecture,
architecture which,
which rely,
rely development,
development distribute,
system know,
know about,
about property,
property different,
different architecture,
architecture learn,
about different,
communication cooperation,
cooperation distribute,
system able,
able apply,
technology real,
world project,
project content,
analyse assess,
synthesize architecture,
architecture socket,
socket threads,
threads module,
content concept,
concept technology,
architecture property,
property distribute,
system client,
client server,
server architecture,
architecture transparency,
system socket,
socket remote,
remote procedure,
procedure call,
call remote,
method invocation,
invocation component,
component base,
base distribute,
message base,
system concurrent,
thread synchronization,
synchronization coordination,
coordination concurrent,
concurrent datum,
executor framework,
framework teach,
hoursweek tutorial,
tutorial hoursweek,
participation skill,
little ects,
ects literature,
material andrew,
andrew tanenbaum,
tanenbaum maarten,
maarten steen,
steen distribute,
publish maarten,
steen jendrock,
jendrock java,
tutorial enterprise,
bean online,
doc oracle,
author socket,
invocation concurrency,
concurrency online,
oracle brian,
brian goetz,
goetz joshua,
joshua bloch,
bloch joseph,
joseph bowbeer,
bowbeer doug,
doug david,
david holme,
holme peierls,
peierls java,
concurrency practice,
practice addisonwesley,
addisonwesley david,
david chappell,
chappell richard,
richard monsonhaefel,
monsonhaefel java,
message service,
service oreilly,
oreilly applicability,
grade ects,
record write,
examination semester,
semester module,
name security,
security module,
prof ralf,
ralf staudemeyer,
staudemeyer qualification,
target course,
course student,
learn determine,
determine level,
service specify
vulnerability estimate,
estimate potential,
potential damage,
damage result,
result from,
from successful
attack cover,
cover basic,
basic principle,
principle concept,
concept operation,
operation secure,
secure mostly,
mostly distribute,
system which,
which include,
include partial,
partial component,
component from,
from operate,
focus course,
course deepen,
deepen understanding,
understanding network,
attack cryptographic,
cryptographic technique,
technique ensure,
ensure integrity,
confidentiality information,
information topic,
topic include,
include various,
various subcomponent,
subcomponent like,
like cryptographic,
authentication distribute,
system basic,
basic security,
standard module,
content course,
course start,
start general,
itsecurity cryptography,
cryptography privacyenhancing,
privacyenhancing technology,
technology main,
main focus,
course cryptographic,
protocol principally,
principally module,
module treat,
treat selection,
selection follow,
attack attack,
protection mechanism,
mechanism cryptographic,
algorithm mac,
mac signature,
signature cryptographic,
management diffiehellman,
diffiehellman exchange,
exchange certificate,
certificate publickey,
publickey infrastructure,
infrastructure digital,
multifactor authentication,
authentication challengeresponse,
challengeresponse protocol,
network internetofthings,
internetofthings smartcities,
smartcities network,
security security,
protocol virtual,
virtual private,
network secure,
internet service,
service usertools,
usertools itsecurity,
privacy daily,
daily practise,
practise email,
chat filesystem,
filesystem module,
module under,
under constant,
development reflect,
reflect much,
much recent,
recent development,
development teach,
participation decent,
decent programming,
skill basic,
knowledge itsecurity,
itsecurity literature,
material eckert,
eckert itsicherheit,
itsicherheit berlin,
berlin mnchen,
mnchen boston,
boston gruyter,
gruyter stalling,
stalling cryptography,
principle practice,
practice edition,
edition prentice,
prentice hall,
hall paar,
paar pelzl,
pelzl understanding,
understanding cryptography,
cryptography berlin,
berlin heidelberg,
heidelberg springer,
springer berlin,
heidelberg schneier,
schneier apply,
apply cryptography,
cryptography john,
john wiley,
wiley son,
son hoglund,
hoglund mcgraw,
mcgraw exploiting,
exploiting software,
software break,
break code,
code addison,
addison wesley,
wesley select,
select source,
source announce,
announce lecture,
lecture applicability,
selfstudy incl,
incl exam,
preparation ects,
complete exercise,
exercise oral,
exam participant,
participant module,
occurrence annually,
annually duration,
area itsecurity,
itsecurity module,
name mobile,
mobile systeme,
prof michael,
michael cebulla,
cebulla qualification,
about substantial,
substantial concept,
development smart,
application focus,
focus area,
area consist,
consist program,
sensor datum,
datum content,
synthesize locationbased,
communication sensorics,
activity recognition,
recognition track,
track trace,
trace module,
development advance,
advance mobile,
application special,
focus lie,
lie contextual,
contextual dependency,
behavior communication,
communication between,
between different,
different component,
component follow,
topic examine,
examine locationbased,
application different,
different localization,
localization service,
service different,
property service,
visualization geographical,
geographical datum,
datum management,
management geographical,
datum geofencing,
geofencing locationbased,
locationbased social,
networking lbsn,
lbsn communication,
application bluetooth,
bluetooth http,
http acquisition,
acquisition environmental,
environmental datum,
datum use,
use sensoric,
sensoric interface,
traceapplications acquisition,
acquisition position,
position datum,
datum environmental,
datum collection,
management datum,
datum automate,
automate situation,
situation monitor,
hoursweek excercise,
excercise hoursweek,
knowledge programming,
android literature,
literature multimediabased,
multimediabased teaching,
teaching material,
material bill,
bill philips,
philips chris,
chris stewart,
stewart brian,
brian hardy,
hardy kristin,
kristin marsiciano,
marsiciano android,
programming nerd,
nerd ranch,
ranch guide,
guide edition,
edition nerd,
ranch thomas,
thomas knneth,
knneth android,
android app,
app entwickeln,
entwickeln android,
android galileo,
galileo press,
press bonn,
bonn greg,
greg milette,
milette adam,
adam stroud,
stroud professional,
programming john,
wiley indianapolis,
indianapolis applicability,
hour hour,
hour preparation,
preparation exam,
exam ects,
final grad,
